,movie_id,nudity,nudity_none,nudity_mild,nudity_moderate,nudity_severe,violence,violence_none,violence_mild,violence_moderate,violence_severe,profanity,profanity_none,profanity_mild,profanity_moderate,profanity_severe,alcohol,alcohol_none,alcohol_mild,alcohol_moderate,alcohol_severe,frightening,frightening_none,frightening_mild,frightening_moderate,frightening_severe
39,tt1046173,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
40,tt1119646,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1
41,tt0361748,Mild,0,10,4,0,Severe,0,1,0,11,Severe,0,0,4,8,Mild,0,10,0,0,Severe,0,0,1,9
42,tt0796366,Mild,0,3,0,0,Moderate,0,0,2,0,Mild,0,2,0,0,Mild,0,2,0,0,Moderate,0,0,2,0
43,tt0936501,Moderate,0,0,2,1,Severe,0,0,2,2,Moderate,0,1,2,0,Moderate,0,0,2,1,Severe,0,0,1,1
44,tt1049413,None,1,0,0,0,Mild,0,1,0,0,Mild,1,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
45,tt0458525,Mild,0,1,0,0,Moderate,0,0,2,1,Moderate,0,1,1,0,Mild,0,1,0,0,Moderate,0,0,2,0
46,tt1156398,Mild,0,1,0,0,Severe,0,0,0,1,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0
47,tt1190080,Mild,0,1,0,0,Severe,0,0,1,1,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
48,tt0499549,Moderate,1,2,3,2,Moderate,0,1,4,0,Moderate,0,2,3,0,Moderate,0,1,2,0,Moderate,0,1,2,0
49,tt1323594,None,1,0,0,0,Mild,0,1,0,0,Severe,1,0,0,1,None,1,0,0,0,None,1,0,0,0
50,tt1375670,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
51,tt0892769,Mild,0,1,0,0,Severe,0,1,0,1,Mild,0,1,0,0,Mild,1,1,0,0,Severe,0,1,0,1
52,tt1375666,None,6,0,0,0,Moderate,0,3,6,0,Mild,0,8,0,0,Mild,1,6,0,0,Moderate,0,1,5,0
53,tt1228705,Mild,0,2,0,0,Moderate,0,1,1,0,Moderate,0,1,1,0,Mild,0,2,0,0,Moderate,0,1,1,0
54,tt1250777,Moderate,0,0,6,2,Severe,0,0,0,5,Severe,0,0,0,5,Moderate,0,1,3,0,Moderate,0,0,4,0
55,tt1245526,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
56,tt1130884,Moderate,0,1,3,0,Severe,0,0,0,2,Moderate,0,1,2,0,Moderate,0,0,2,0,Severe,0,0,0,2
57,tt1104001,None,1,0,0,0,Moderate,0,1,1,0,Mild,0,2,0,1,Mild,0,1,0,0,Moderate,0,0,1,0
58,tt0435761,Mild,0,3,0,1,Mild,0,3,1,0,Mild,1,2,0,0,None,2,0,0,0,Moderate,0,0,4,0
59,tt0780504,Moderate,0,2,8,1,Severe,0,0,1,11,Moderate,0,0,7,2,Mild,0,7,2,0,Severe,0,0,1,9
60,tt1596343,Mild,0,1,0,0,Severe,0,0,0,1,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
61,tt1201607,Mild,1,4,3,1,Moderate,0,1,6,3,Moderate,0,2,3,2,Mild,2,4,0,1,Moderate,0,1,6,5
62,tt1219289,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
63,tt1298650,Mild,0,1,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
64,tt1270798,Mild,0,2,0,0,Mild,0,2,0,1,Moderate,0,1,2,0,Mild,0,2,0,0,Moderate,0,1,1,0
65,tt1568346,Severe,0,0,1,5,Severe,0,0,1,5,Moderate,0,0,6,0,Mild,0,6,0,0,Severe,0,0,1,5
66,tt1454029,Mild,1,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0
67,tt1637688,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
68,tt1232829,Moderate,0,1,4,0,Moderate,0,2,1,2,Severe,0,0,0,3,Moderate,0,0,3,1,Moderate,1,1,2,0
69,tt0948470,Mild,1,2,0,0,Severe,0,1,1,2,Mild,1,2,0,0,Mild,1,2,0,0,Moderate,0,1,1,1
70,tt1605630,Severe,0,0,2,2,Mild,0,2,0,0,Severe,0,0,1,1,Moderate,0,0,2,0,None,2,0,0,0
71,tt0848228,None,4,3,0,0,Moderate,0,1,4,0,Mild,0,4,2,0,Mild,0,6,0,0,Moderate,0,2,3,0
72,tt1440129,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
73,tt1194173,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
74,tt1217209,Mild,0,1,0,0,Moderate,0,0,1,0,None,1,0,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
75,tt1259521,Severe,0,0,2,3,Severe,0,0,0,3,Severe,0,0,0,3,Moderate,0,0,3,0,Severe,0,0,0,3
76,tt1790886,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
77,tt1371111,Severe,0,0,1,1,Moderate,0,0,1,0,Mild,0,1,0,0,Severe,1,0,0,1,Severe,0,0,0,1
78,tt1345836,Mild,3,5,0,0,Moderate,0,0,5,2,Mild,0,4,1,0,Mild,0,4,0,0,Moderate,0,0,5,1
79,tt1077368,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
80,tt1853728,Moderate,0,5,10,4,Severe,0,1,1,19,Severe,0,0,1,16,Mild,0,15,0,0,Severe,0,1,7,9
81,tt1343727,Moderate,0,1,1,0,Severe,0,0,0,2,Severe,0,0,1,1,Moderate,0,0,2,0,Severe,0,1,0,1
82,tt1855199,Mild,0,1,0,0,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1
83,tt1764651,Mild,1,1,0,0,Severe,0,0,1,2,Moderate,0,0,3,0,Mild,0,3,0,0,Mild,0,2,1,0
84,tt1907668,Severe,1,0,0,2,Moderate,0,0,1,0,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0
85,tt1694020,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
86,tt1648179,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
87,tt0903624,None,1,0,0,0,Moderate,0,0,2,0,Mild,0,1,0,0,Mild,1,1,0,0,Moderate,0,0,1,0
88,tt0837562,Mild,0,2,0,1,Severe,0,0,1,1,Severe,0,1,0,1,Severe,1,0,0,1,Severe,0,0,1,1
89,tt0790724,Moderate,0,1,1,0,Severe,0,0,0,1,Moderate,0,0,1,0,Moderate,0,0,1,0,Severe,0,0,0,1
90,tt0401729,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
91,tt1764234,Mild,0,1,0,0,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0,Moderate,0,0,1,0
92,tt1212450,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
93,tt0454876,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
94,tt1276104,Moderate,0,1,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Moderate,0,0,1,0
95,tt1915581,Severe,0,0,0,2,Moderate,0,0,1,0,Severe,0,0,0,2,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0
96,tt1568338,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
97,tt1258972,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
98,tt1560747,Severe,0,0,1,1,Moderate,0,1,2,0,Severe,0,0,1,1,Moderate,0,0,2,0,Moderate,1,0,1,0
99,tt1409024,Moderate,0,1,1,0,Severe,0,0,1,1,Moderate,0,0,2,0,Mild,0,2,0,0,Severe,0,0,1,1
100,tt1047540,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
101,tt1636826,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
102,tt1446714,Mild,2,6,1,0,Severe,0,0,2,5,Moderate,0,0,8,1,Mild,0,6,0,0,Severe,0,0,3,4
103,tt1234719,None,1,0,0,0,Severe,0,0,0,1,Moderate,0,0,1,0,None,1,0,0,0,Severe,0,0,0,1
104,tt1446192,Severe,1,0,0,1,Mild,0,1,0,0,Mild,0,1,0,0,Mild,1,1,0,0,Mild,0,1,0,0
105,tt1615065,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
106,tt1931533,Mild,0,1,0,0,Severe,0,0,1,1,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0
107,tt1922777,Mild,2,2,1,0,Severe,0,0,1,4,Moderate,0,0,4,0,Mild,0,3,1,0,Severe,0,0,0,4
108,tt1074638,Mild,0,1,0,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
109,tt1735898,Be the first to evaluate this category,0,0,0,0,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
110,tt1397280,Moderate,0,0,1,0,Severe,0,0,0,1,Mild,0,1,0,0,Mild,0,1,0,0,Severe,0,0,0,1
111,tt1637725,Severe,1,0,3,4,Moderate,0,1,3,2,Severe,0,1,1,3,Moderate,0,1,3,1,None,3,0,0,0
112,tt1232200,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
113,tt1758830,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
114,tt1386703,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0
115,tt2091473,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
116,tt1772341,Mild,1,1,0,0,Moderate,0,1,2,0,Mild,1,1,0,0,Mild,1,1,0,0,Mild,0,2,0,0
117,tt1351685,Mild,0,1,0,0,Severe,0,0,0,1,Moderate,0,0,1,0,None,1,0,0,0,Moderate,0,0,1,0
118,tt1623205,Mild,1,2,0,0,Moderate,0,0,2,0,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
119,tt1606378,Be the first to evaluate this category,0,0,0,0,Severe,0,0,0,1,Severe,0,0,0,1,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
120,tt1924429,Moderate,0,0,1,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Mild,0,1,0,0,Be the first to evaluate this category,0,0,0,0
121,tt2053463,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0
122,tt2101441,Severe,0,0,0,2,Moderate,0,0,1,0,Severe,0,0,0,1,Severe,0,0,1,1,Severe,0,0,1,1
123,tt0790628,Mild,0,1,0,0,Mild,0,1,0,0,Mild,0,1,0,0,Be the first to evaluate this category,0,0,0,0,None,1,0,0,0
124,tt1433811,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
125,tt1935179,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
126,tt1381404,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
127,tt2302755,Moderate,1,0,1,0,Severe,0,0,0,1,Severe,0,0,0,1,Mild,0,1,0,0,Severe,0,0,0,1
128,tt1817273,Be the first to evaluate this category,0,0,0,0,Moderate,0,0,1,0,Severe,0,0,0,1,Moderate,0,0,1,0,Moderate,0,0,1,0
129,tt1583421,None,1,0,0,0,Moderate,0,0,1,0,Mild,0,1,0,0,None,1,0,0,0,Moderate,0,0,1,0
130,tt0481499,None,1,0,0,0,Mild,0,1,0,0,None,1,0,0,0,None,1,0,0,0,Mild,0,1,0,0
131,tt2243537,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
132,tt0816711,None,3,1,0,0,Moderate,0,2,2,0,Mild,1,2,2,0,Mild,0,2,0,0,Moderate,0,2,2,0
133,tt1483013,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0,Mild,0,1,0,0,Mild,0,1,0,0
134,tt1731141,Mild,0,1,0,0,Severe,0,0,0,1,Mild,0,1,0,0,Mild,0,1,0,0,Moderate,0,0,1,0
135,tt1170358,None,1,0,0,0,Moderate,0,0,1,0,None,1,0,0,0,None,1,0,0,0,Mild,0,1,0,0
136,tt0770828,None,2,0,0,0,Moderate,0,0,2,0,Mild,0,2,0,0,Mild,0,2,0,0,Moderate,0,0,2,0
137,tt1663662,None,1,0,0,0,Moderate,0,0,1,0,Mild,0,1,0,0,None,1,0,0,0,Moderate,0,0,1,0
138,tt1951264,Mild,0,1,0,0,Moderate,0,0,2,0,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,2,1
139,tt1210819,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
140,tt1430132,Mild,0,1,0,0,Moderate,0,0,2,1,Moderate,0,0,2,0,Moderate,0,0,1,0,Severe,0,0,1,1
141,tt1535108,Moderate,0,1,1,0,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1
142,tt1815862,Mild,0,1,0,0,Severe,0,0,1,1,Moderate,0,1,1,0,Mild,0,1,0,0,Severe,0,0,1,1
143,tt1300854,Mild,1,4,0,0,Moderate,0,0,3,0,Mild,0,2,1,0,Mild,0,3,0,0,Moderate,0,0,3,0
144,tt1245492,Moderate,4,0,2,5,Severe,0,0,1,1,Severe,0,0,0,3,Moderate,0,0,2,0,Moderate,0,0,1,0
145,tt0790736,Mild,0,1,0,0,Moderate,0,0,1,0,Moderate,0,0,1,0,Mild,0,1,0,0,Moderate,0,0,1,0
146,tt1981115,Mild,0,3,0,0,Moderate,0,0,2,0,Mild,0,2,0,0,None,1,0,0,0,Moderate,0,1,1,0
147,tt1408101,Mild,0,2,0,0,Moderate,0,0,2,0,Mild,0,3,0,0,Mild,0,2,0,0,Moderate,0,0,1,0
148,tt1670345,Moderate,0,0,1,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
149,tt1951261,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
150,tt1650554,Severe,1,0,0,2,Severe,0,0,0,1,Severe,0,0,0,1,Mild,0,1,0,0,Moderate,0,0,1,0
151,tt1731697,Severe,0,0,0,1,Severe,0,0,0,1,Moderate,0,0,1,0,Severe,0,0,0,1,Severe,0,0,0,1
152,tt1034314,None,1,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
153,tt1649419,Moderate,0,1,1,1,Severe,0,0,0,3,Mild,0,2,0,0,None,2,0,0,0,Severe,0,0,0,2
154,tt1869425,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
155,tt2099556,Mild,0,1,0,0,Moderate,0,0,1,0,None,1,0,0,0,Mild,0,1,0,0,Severe,0,0,0,1
156,tt1781769,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
157,tt2088923,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
158,tt2092011,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
159,tt1389096,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
160,tt1838475,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
161,tt1230215,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
162,tt2066176,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
163,tt1934458,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
164,tt1867086,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
165,tt0144117,Mild,0,2,1,0,Severe,0,0,1,2,Moderate,0,0,2,1,Mild,0,3,0,0,Moderate,0,1,2,0
166,tt0083907,Moderate,0,1,6,1,Severe,0,0,2,7,Mild,0,4,0,0,Mild,1,6,0,0,Severe,0,0,2,6
167,tt0453562,Mild,0,1,0,0,Mild,0,1,0,0,Severe,0,0,0,1,Mild,0,1,0,0,Moderate,0,0,1,0
168,tt1288558,Mild,1,5,0,0,Severe,0,0,1,7,Moderate,0,0,5,1,Mild,0,7,0,0,Moderate,0,1,4,2
169,tt0795461,Severe,0,0,1,1,Severe,0,0,1,1,Severe,0,0,0,2,Severe,0,1,0,1,Severe,0,0,1,1
170,tt1235522,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
171,tt1321870,Mild,0,1,0,0,Severe,0,0,0,1,Severe,0,0,0,1,Severe,0,0,0,1,Severe,0,0,0,1
172,tt1905041,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0,Be the first to evaluate this category,0,0,0,0
